,apartment_type,price,location,link_to_property,contacts
0,4 bedroom terraced duplex for sale,"₦140,000,000","Off Lekki Epe Express Way, Osapa, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/osapa/2213588-4-bedroom-terrace-house-with-staff-room,08038156271
1,3 bedroom terraced duplex for sale,"₦47,000,000","Lekki Gardens Estate Phase2, Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/2296109-cornerpiece-3bedroom-terrace-duplex,08037207128
2,5 bedroom detached duplex for sale,"₦350,000,000","GRA Phase 2, Magodo, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/magodo/gra-phase-2/2296417-fully-furnised-5-bedroom-detached-duplex,08025022065
3,3 bedroom house for sale,"₦55,000,000","Ikota, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/ikota/2296408-serviced-3-bed-terraced-duplex,08165544953
4,2 bedroom house for sale,"₦140,000,000","Ikate Elegushi, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/ikate-elegushi/2296400-exquisitely-built-2bedroom-apartment-in-gated-and-well-secured-estate,08083843273
5,4 bedroom terraced duplex for sale,"₦130,000,000","Ikate Elegushi, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate-elegushi/2296396-most-affordable-4bedroom-terrace-duplex-with-boys-quarter,08083843273
6,4 bedroom semi-detached duplex for sale,"₦120,000,000","Elegant 4bedroom Semi Detached Duplex At Chevron Lekki, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/2296394-luxury-4-bedroom-semidetached-duplex-in-a-secured-estate,07012894830
7,2 bedroom terraced duplex for sale,"₦55,000,000","Ikota, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/2296392-stunning-2-bedroom-terrace-duplex-suitable-for-investment-and-resident,08083843273
8,5 bedroom semi-detached duplex for sale,"₦250,000,000","2nd Toll Gate, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/2296367-contemporary-5-bed-semi-detached-duplex-with-bq,08165544953
9,4 bedroom detached duplex for sale,"₦290,000,000","Magnificent 4bedroom Detached Duplex With Nice Bq & Fittings In Osapa, Osapa, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2296391-contemporary-4bedrm-fully-detached-duplex-with-bq-in-a-secured-estate,07012894830
10,5 bedroom detached duplex for sale,"₦220,000,000","Orchid, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2296390-luxurious-finished-5bedroom-fully-detached-duplex,08083843273
11,4 bedroom house for sale,"₦240,000,000","Ikate Elegushi, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/ikate-elegushi/2296384-luxury-4bedroom-detached-duplex,08083843273
12,4 bedroom terraced duplex for sale,"₦300,000,000","Ikate Elegushi, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate-elegushi/2296382-4,09090852826
13,4 bedroom semi-detached duplex for sale,"₦450,000,000","Victoria Island (VI), Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/victoria-island/2296380-serviced-with-247-power-supply-4-bedroom-en-suite-flat-with-fitted-op,09090852826
14,5 bedroom detached duplex for sale,"₦150,000,000","Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2132383-5-bedrooms-duplex,08033570342
15,5 bedroom detached duplex for sale,"₦720,000,000","Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/2296372-contemporary-5bedroom-detached-duplex,08112334059
16,5 bedroom detached duplex for sale,"₦280,000,000","Ravishing Built Home Within A Well Secured And Developed Estate, Ojodu Berger, Ojodu, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ojodu/ojodu-berger/2296368-newly-built-detached-duplex-with-bq,08154431801
17,4 bedroom terraced duplex for sale,"₦365,000,000","Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/2296363-waterfront-luxurious-4bedroom-terrace-duplex,08112334059
18,4 bedroom detached duplex for sale,"₦2,200,000,000","Old Ikoyi, Ikoyi, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikoyi/old-ikoyi/2296356-lavishly-finished-5bedrooms-detached-house-on-4-floors-strategically,08081182285
19,5 bedroom detached duplex for sale,"₦350,000,000","Chevron, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2296345-luxury-5-bedroom-detached-duplex-with-a-pool-and-gym,09036860754
20,6 bedroom detached duplex for sale,"₦250,000,000","Ojodu Berger, Ojodu, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ojodu/ojodu-berger/2296351-newly-built-6-bedroom-detached-duplex-plus-bq,08063023172
21,4 bedroom terraced duplex for sale,"₦900,000,000","Plot 134, Ayodele Odubiyi Street, Pinnacle Gas Station, Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/1945295-4-units-of-luxury-4-bedroom-terrace-duplexes,08067495852
22,4 bedroom detached duplex for sale,"₦2,200,000,000","Old Ikoyi, Ikoyi, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikoyi/old-ikoyi/2296356-lavishly-finished-5bedrooms-detached-house-on-4-floors-strategically,08081182285
23,5 bedroom detached duplex for sale,"₦350,000,000","Chevron, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2296345-luxury-5-bedroom-detached-duplex-with-a-pool-and-gym,09036860754
24,6 bedroom detached duplex for sale,"₦250,000,000","Ojodu Berger, Ojodu, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ojodu/ojodu-berger/2296351-newly-built-6-bedroom-detached-duplex-plus-bq,08063023172
25,3 bedroom detached bungalow for sale,"₦35,000,000","Shelter Afrique Extension By New Ring Road, Uyo, Akwa Ibom",https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/akwa-ibom/uyo/2205173-fantastic-newly-built-three-3-bedroom-detached-bungalow,08177766118
26,5 bedroom detached duplex for sale,"₦175,000,000","Gra Phase 1, Behind Nta, Asaba, Delta",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/delta/asaba/1864575-5-bedrooms-fully-detached-duplex,08137214301
